,problem_text,topic
23,"Is there such a number of n : that numbers a) n – 96, n + 96; b) n – 1996, n, n + 1996 simple? (All simple numbers count positive.) Send a comment Decision Task 98406 Themes: [paints] [various tasks in cutting] [Quality and equilibrium] [Tables and tournaments (other)] Complexity: 3 Klass: 7.8.9 Author: Shapovals A.V. Igor and Vali have a white square 8×8 broken into cells 1×1. They have painted the same number of cells on their squares in blue.",number_theory
24,"Let's call natural numbers similar if they're recorded with the same set of numbers (e.g. for a set of numbers 1, 1, 2 are similar to the numbers 112, 121, 211). Prove that there are three similar 1995 figures that have no zeros, that the sum of two of them is equal to the third.",number_theory
25,"Is it possible to form in space a closed chain of 61 identical harmonized rotating gears in such a way that the angles between the clutched gears are not less than 150 degrees? In this way: for simplicity, the six are considered to be circles; the sixs are coupled if the corresponding circles at the point of contact have a common tangent; the angle between the attached gears is the angle between the radiuss of their circle taken at the point of contact; the first six are to be coupled to the second, the second is to the third, and so on, the 61 is to the first, and the other pairs of the six are not to have common points.",number_theory
26,"Each of the ribs of a complete graph with nine vertices painted blue or red. Prove that there are four vertices, all ribs between which are blue, or there are three vertices, all ribs between which are red.",dirichlet
27,"(a) The electrical circuit has a type of grid 3×3: all in a diagram of 16 knots (grace squares) that are connected by wires (parts of the grid squares). Perhaps part of the wires are burned. For one measurement, you can choose any pair of circuit knots and check whether there is a current between them (i.e., check whether there is a chain of unburned wires connecting these knots). In fact, the diagram is such that the current passes from each knot to any other. What is the lowest number of measurements you can always verify?",combinatorics
28,"The convention brought together scientists, among whom there are friends, and it turns out that every two of them, having equal numbers of friends at the convention, have no mutual friends, to prove that there is a scientist who has exactly one friend among the participants in the convention.",graphs
29,"There are 101 vertebrates in each vertebrate. The number of incoming and outgoing ribs is 40. Prove that from each vertice it is possible to reach any other one, with no more than three ribs. Send a comment. Mission 35677 Themes: [Chachmat Painting] [Dirichle (Other) Principle] [Changing Composition] The difficulty: 4Class: 8.9.10 City in a triangle is broken into 16 triangular blocks, at the intersection of any two streets is an area (all in 15 spaces). The tourist has started to bypass the city with some space and has completed the rounds in some other area, and has visited each area exactly one time. Prove that in the process of bypassing the tourist has turned at least four times to 1,200. Send a comment. The Strange Decision: < 66 67 68 71 72 > [Total tasks: 590] between 2 and 10 and 50 to 100 with decisions.",dirichlet
30,At what value of a multi-member P(x) = x1000 + ax2 + 9 is divided by x + 1?,polynoms
31,"Of these, 22 were held by the hand of the boy and 30 were held by the hand of the girl.",invariant
32,At what whole n number n4 + 4 is composite?,number_theory
33,Prove inequality,number_theory
34,"At what are the n values, all the coefficients of Newton's binoma degradation (a + b)n are odd?",combinatorics
35,"The secret service has N agents – 001, 002,..., 007,... n. The first agent is looking after the second, the second one is looking after the third, etc., n-i is looking after the first one. Prove that n is an odd number.",combinatorics
36,(c),combinatorics
37,"Malvina asked Buratino to write out all the nine-digit numbers made up of different numbers. Buratino forgot how the number 7 was written, so only recorded the nine-digit numbers that did not. Then Malvina suggested that he should delete the remaining three-digit number from each number, so that the remaining three-digit number would be simple. Buratino immediately stated that this was not possible for all the numbers recorded. Is he right?",number_theory
38,"Prove that if the square equation with the whole coefficients has the root u = [a;], the second root will be the number",polynoms
39,"Prove that at k ≥ 1, the equation is: = [aFk; aFk – 1,..., aF0] where {Fk} is the sequence of Fibonacci numbers.",number_theory
40,Prove that the two adjacent numbers Fbonacci Fn-1 and Fn (n ≥ 1) are mutually simple.,number_theory
41,"It is known that an – bn is divided by n (a, b, n – natural numbers, a ~ b). Prove what is divided by n.",number_theory
42,Prove inequalities for natural n:,number_theory
43,"Prove that the number (m, n ≥ 0) is whole.",combinatorics
44,"There are several thin matches of the same length on the table. Is it always possible to paint their ends (a) in 2, (b) in three colours so that the two ends of each match are different colours and every two related matches are the same color?",dirichlet
45,Each of the 102 pupils in one school is familiar with at least 68 others; prove that there are four of them who have the same number of acquaintances.,number_theory
46,"The natural numbers a1, a2,..., an are such that each number does not exceed its number (k≤ k) and the sum of all numbers is an even number. To prove that one of the sums a1 ± a2 ±... ± an is zero.",number_theory
47,"a, b, c is whole numbers; a and b are different from zero. Prove that the equation ax + by = c has solutions in whole numbers when and only when c is divided by d = SPLM(a, b).",dirichlet
48,What is the lowest sum of numbers that can have the number of species 3n2 + n + 1 with natural n?,number_theory
49,"At the camera music festival, six musicians gathered at each concert, and some musicians perform and the others listen to them from the hall. For what is the lowest number of concerts each of the six musicians will be able to listen to (from the hall) all the others?",dirichlet
50,"There is an infinite arithmetical progress of natural numbers with a non-zero difference. Each of its members has a square root removed and, if there is a single number, rounded to the nearest whole. Is it possible that all the roundings were in the same direction?",dirichlet
51,"The cell strip 1×1000000 is broken into 100 segments. Each cell has an entire number, and each cell has a number that matches the number in the same segment. Each cell has a chip. Then they do this operation: all the chips are moved at the same time, each of them to the number of cells to the right that is shown in its cell (if the number is negative, the chip moves to the left); it turns out that each cell is back to the chip. This operation is repeated many times. For each of the chips of the first segment, it is calculated how many operations it will be in this segment for the first time. Prove that, among the numbers received, no more than 100 different.",combinatorics
52,There are 1955 points. What is the maximum number of threes that can be selected so that every two threes have exactly one common point?,combinatorics
53,"In square table 4×4 cells, there are + and – signs as shown in the figure. It is allowed to change the sign simultaneously in all cells in the same row, in the same column or in a straight line parallel to a diagonal (in particular, it is possible to change the sign in any corner cell). Prove that no matter how many of us make such changes in the sign, we will not be able to obtain a table of one plus.",invariant
54,"Natural numbers m1,..., mn are mutually simple in pairs. Prove that the number x = (m2...mn)\(m1) is the solution of the system x \1 (mod m1), x \0 (mod m2),... x \0 (mod mn).",number_theory
55,Are there 19 such pairs of different natural numbers with the same sum of numbers that amount to 1999?,number_theory
56,Set the equation x2 to 5y2 = 1 in whole numbers.,number_theory
57,"The teacher recorded two natural numbers on the board. The Lion multiplied the first number by the sum of the second and received 20131313. The Feday multiplied the second number by the sum of the first numerals and received the second number by the sum of the first numerals and received the second number by the sum of the first numerals. The second number by the sum of the first numerals by the sum of the first numerals and received the second number by the amount of the second numerals by the amount of the first numerals by the amount of the first numera, and obtained the second number by the second amount by the same amount.",number_theory
58,Each letter of the original message was replaced by a two-digit number in the Russian alphabet according to the table:,number_theory
59,"There are 100 bills of two types: a and b rubles, and a b (mod 101).",dirichlet
60,"In the city, 57 bus routes are known to be: (1) from each stop to any other stop, without a transplant; (2) for each pair of routes, there will be only one stop at which one of these routes can be moved to another; (3) for each route, there will be at least three stops. How many stops each of the 57 routes has?",combinatorics
61,"By using the Ledjandra formula (see task 60553), prove that the number is whole.",number_theory
62,"Tom and Jerome were found on the road with a pack of 11 pieces, drinking 3 cups of tea in Tom's tea shop, eating 4 pebbles and 5 bagels, drinking 9 cups of tea, eating 1 pebble and 4 bagels, and having a cup of tea, a cup of tea and a bagel with a whole number of rubles, and it turns out that Tom can pay 11 chunks without giving up.",number_theory
63,For which n is there such a closed non-self-reconclusive breakage of n links that each straight line containing one of the links of this fracture contains at least one more link?,number_theory
64,"Prove that there are infinitely many of these three numbers n – 1, n, n + 1, that: (a) n is represented as the sum of two squares of natural (full positive) numbers and n – 1 and n + 1 is not; (b) each of the three numbers is represented as the sum of two squares of natural numbers.",number_theory
65,"The sequence of natural numbers a1, a2,..., an,... so that for each n the equation an+2x2 + an+1x + an = 0 has a valid root. Can the number of members of this sequence be a) equal to 10; b) infinite?",polynoms
66,"M is the centre of the circle of the MD radius. Find the angular value of the arc of the circle between the sides of BA and BC if BAC = 65o. Send a comment. Decision Task 52605 Themes: [The angle between the two chords and the two sections] [Straight related to the circles (other)] Complexity: 3Klass: 8.9 Inside the circle is another circle. CAE and DDF are two chords of the larger circle (not intersecting) related to the smaller circle at points A and B; CND, EPF - arc between the ends of the chord. Find the arc of the CND if the arcs of the AMB and EPF contain 154o and 70o respectively. Send a comment.",geometry
67,"Natural numbers x and y are so that 2x2 is 1 = y15. Prove that if x > 1, x is divided by 5.",number_theory
68,"Is there an infinite number of such threes of whole numbers x, y, z that x2 + y2 + z2 = x3 + y3 + z3?",number_theory
69,"The seller and buyer have a total of 1999 rubles of coins and bills of 1, 5, 10, 50, 100, 500 and 1,000 rubles. The cat in the bag is worth a whole number of rubles, and the buyer has enough money.",number_theory
70,Send a comment Decision Task 64350 Themes: [Written and described circles] [Four points on the same circle] [Subsidiary Equal Triangles] [Radial Axis] [Direct Homothetics (Other)]] The difficulty: 4+Classes: 9.10 Author: Bogdanov I.I. On the sides of the ABC sharp triangle outside it are CAKL and CBM squares. Direct N crosses the segment of AK at point X and the straight CL crosses the section of BM at point Y. Point P inside the ABC triangle is the intersection of the described circles of the KXN and LYM triangles. Point S is the mid-section of AB. Prove that,geometry
71,"Can each whole number be recorded as the sum of the cubes of several whole numbers, which are not the same?",number_theory
72,Prove that the angle between the tangent and the chord taken through the point of contact is equal to half the angle value of the arc between them. Send a comment. Send a comment. sent a comment. Decision. 55389 Theme:: [the angle between the angle and the chord] The difficulty: 3Klasss: 8.9 The factor in point A to the described circle of the A-A to the described circle of the ABC triangle triangle of the ABC triangle crosses the straight side of the triangle of the ABC triangle cross the straight BC at point E;AD - bis-bissecetics the ABC triangle. Prove that AE is equal to ED. Send a comment to Decision 67024 The ThThea: [Agle between the angle and the chord is equal to the distance between the right and the right of the right: 8.9 The factor in point A to the described angle of A to the described circle of the ABC triangle is: 9.10.11 Author: 9.10.11 The factor in point in point A to the described circle A to the described circle of the same angle of the angle of the distance of the distance of the angle is: 9.10.10.10.11 of A to the AA to the described of the angle of the angle of the distance of the distance of the distance of the distance of the distance of the distance of the A hand of the A hand of the A hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand of the hand hand of the hand of the hand hand of the hand of the hand of the,geometry
73,Dana is an unbroken non-self-reconclusive broken line of 37 links. Each link has a straight line. What is the lowest number of different lines that could have worked?,combinatorics
74,"The graph shows the graphs of three square members. Can these numbers be selected a, b and c so that these are the graphs of three members ax2 + bx + c, bx2 + cx + a and cx2 + ax + ax + ax + b?",polynoms
75,The distance between the centres of the circles is greater than the sum of their radius. Prove that the mid-points of the four common tangents of these circles lie on one line.,geometry
76,(a) 21 coins of tail up on the table. One operation allows any 20 coins to be turned over. Can all coins be placed in an eagle up in a few operations? (b) The same question if 20 coins and 19 coins are allowed to be rotated.,number_theory
77,"Find an area where the bases are equal to 10 and 26, and the diagonal are perpendicular to the side sides. Send a comment Decision Task 67207 Themes: [The four points on the same circle] [The four points on the same circle help solve the task] [Symmetry helps solve the task] The difficulty: 4-Class: 4-Classss: 8.9.10 Author: Moscow $100, $10, $10, $10, $10, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $, $,,,,,,,,,,,,, 10, 10, 10,,,,,,, 10, 10, 10, $, $, $, $, $, $, $, $, A and $, $, $, $, and $, and $, $, $, $, and $, and $, and $, and $, and $, and $, and $, and $, and $, $,",geometry
78,"The light panel consists of several lamps, each of which may be in two conditions (burn or not). On the bullet, several buttons, each of which simultaneously changes the condition of a set of lamps (for each button its own), the lamps do not start to burn. (a) Prove that the number of different patterns that can be obtained on the placard is the degree of two. (b) How many different patterns can be obtained on a placard consisting of mn lamps in the shape of a rectangle of m×n if the buttons can be switched on either horizontal or any vertical row of lamps?",combinatorics
79,"The Rogue and Hoov equity rate is raised or lowered by n% every day at 12:00, where n is a fixed natural number, less than 100 (the rate is not rounded). Is there a n for which the share rate can take the same value twice?",number_theory
80,"Twenty-five coins are arranged at random into two groups. Then any of the existing groups are split into two groups again, and so on until each group consists of a single coin. When each group is split into two, a piece of coins is recorded in two groups. What is the sum of all the numbers recorded?",invariant
81,Is there a 2016-digit number that can be converted to 2016 different 2016-digit full squares?,dirichlet
82,"(a) There is a piece of cheese. It is allowed to select any positive (perhaps not whole) number a × 1, and cut this piece in relation to 1 : a by weight, then cut in the same way any of the existing pieces, and so on. Is it possible to act in such a way that, after the final number of cuts, the whole cheese can be divided into two pieces of equal weight? (b) The same question, but the positive rational a ~ 1 is chosen.",number_theory
83,Find the last two digits of the decimal number 1! + 2! +... + 2001! + 2002!,number_theory
84,"In some kingdoms, an unlimited number of coins in n1, n2, n3,... copéeks where n1 < n < 2 < n3 <... is an infinite sequence of natural numbers. Prove that this sequence can be cut off, i.e. there will be so many Ns that any sum that can be paid without the coins issued can actually be paid only by n1, n2, nN copieks.",number_theory
85,"From a glass of milk, three spoons of contents are pumped into a cup of tea and sloppy, then scrape three spoons of the mixture and then pour them back into a glass of milk. What's more, tea in a cup of milk or milk in a cup of tea?",invariant
86,(b) l(0) + l(1)x + l(2)x2 +... = (1 – x)-1 (1 – x3) -1 (1 – x5) -1...;,combinatorics
87,"There were two decks on the table, 36 cards each, the first deck was dragged and placed on a second deck. Then for each card the first deck calculated the number of cards between it and the same card of the second deck (i.e. how many cards between seven worms, between the ladies of the peak, etc.). What is the sum of the 36 numbers received?",invariant
88,"(a) Two identical sixs with 14 teeth each. They were placed on each other so that the teeth match. (So the projection on the plane looks like one.) Then four pairs of matching teeth drank. Is it always possible to turn these sixs relative to each other so that the projection on the plane looks like one whole six? (Shesters can be rotated, but cannot be rotated.)",number_theory
89,"At the National Basketball Association, 30 teams, each of which spends 82 matches a year with other teams in the regular championship. Can the Association's management share teams (not necessarily equally) at the Eastern and Western Conferences and schedule the games so that teams from the various conferences match exactly half of the total?",graphs
90,"There are n > 1 cities in the country, some pairs of cities are connected by two long-haul flights, while there is only one airway between each two cities (perhaps with transplants). The mayor of each city of X has calculated the number of such numberings of all cities from 1 to n, which on any airway starting in X is the number of cities in the order of increase. All but one of the mayors have noticed that their results are divided into 2016. Prove that the remaining mayor also has the result divided into 2016.",combinatorics
91,"A cellular rectangular grid m×n is tied from single length ropes. Two make moves in turn. In one move, you can cut (in the middle) a single rope not previously cut. If there are no closed ropes left, the player who made the last move is considered to be the loser. Which player wins in the right game and how does he have to play?",graphs
92,"Let P(x) and Q(x) be multi-member, with Q(x) not equal to zero. Prove that there are so many T(x) and R(x) members that P(x) = Q(x)T(x) + R(x) and DEG R(x) < degQ(x) and that T(x) and R(x) are clearly defined.",polynoms
93,(b).................................................................,combinatorics
94,On board the airliner 2n passengers and the airline loaded for them n meals with chicken and n meals with fish. It is known that a passenger with a probability of 0.5 prefers chicken and a probability of 0.5 prefers fish. Call the passenger unhappy if he/she does not have what he/she prefers. (a) Find the most likely number of disgruntled passengers. (b) Find a mathematical expectation of the number of disgruntled passengers. (c) Find the variance in the number of ungrateful passengers.,number_theory
95,Resolve equation in natural numbers,number_theory
96,"The plan of the city is a plane divided into the same right triangles. The sides of the triangles are motorways and the tops of the triangles are intersections. From points A and B on the same road (a side triangle), two cars move simultaneously in the same direction at the same speed. Once they reach any intersection, each car can either continue in the same direction, or turn 120° to the right or to the left. Can the cars meet?",invariant
97,"The listed circle of the ABC triangle refers to the sides of BC, CA, AB in points A', B', C', respectively. Direct AA', BB' and CC' intersects at point G. The described circle of the GA'B' triangle crosses again the straight AC and BC in points CA and CB. Similarly, the points AB, AC, BC, BA are defined. Prove that the points AB, AC, BC, BA, CA, CB are on the same circle.",geometry
98,"In the cinema, seven rows of 10 seats each, a group of 50 children went to the morning session and then to the evening session, prove that there were two children who sat in the morning session and sat in the evening row.",dirichlet
99,"The book ""The magic for teapots"" says: Replace the letters in the word ZEMLETRATION with the same numbers and the different letters with the different ones. If the number is simple, there will be a real earthquake. Is it possible to create an earthquake in this way?",number_theory
100,"20 phones are wired so that each wire connects two phones, each pair of phones is connected by no more than one wire and no more than two wires separate from each phone. You need to paint the wires (each wire in one paint) so that each phone is separated by different colours. What is the least number of paints that can be painted?",graphs
101,"Prove that there is an infinite number of pairs of such adjacent natural numbers that the decomposition of each of them contains any simple multiplier at least in the second degree. Examples of such pairs of numbers are: (8, 9), (288, 289).",number_theory
102,"It is known that f(x), g(x) and h(x) are square three members. Can the equation f(g(h(x)) = 0 have roots 1, 2, 3, 4, 5, 6, 7 and 8?",polynoms
103,"What five-digit numbers are more: not divided into five, or those that have neither the first nor the second number on the left, nor the five?",combinatorics
104,"( b) What are the properties of the binomial coefficients if in properties (b) – (g) of task 61522, set the value x = 1?",combinatorics
105,"Find all such two-digit numbers that, by multiplying by a certain number, there is a number whose second-last digit is 5. Send a comment Decision Task 78617 Themes: [The tenth system of calculation] [The tenth system of calculation] [The breakup by pairs and groups; bieks] [Firth and equilibration] Complicity: 3+Klassa: 8.9 Number y is derived from the natural number x by some conversion of its numbers. Prove that whatever it is x, Send Comment Decision Task 79697 Themes: [The tenth system of calculation by means of the residuals (other)] [The values of divisionality (other)]. Complicity: 3+Claxty: 2+Claxs: 7.9 Prove that no degree of number 2 is completed by the same numbers.",number_theory
106,"Prove that in the two-directed flat row E ≥ 2F, if E ≥ 2 (E is the number of ribs, F is the number of areas).",combinatorics
107,"There are 31 wallets on the left side, each with 100 coins. From one wallet, a portion of the coin was moved: one coin to each of the wallets on the right. For one question you can see the total number of coins in any set of wallets. For what is the least number of questions that can be guaranteed to compute a lightened wallet?",number_theory
108,"Let it be known that all the roots of a certain equation x3 + px2 + qx + r = 0 are positive. What additional condition must its coefficients p, q and r satisfy in order to make a triangle out of the portions that are the same as these roots?",polynoms
109,Prove that every vertex can be hit by no more than three ribs.,dirichlet
110,"A vanguard artist drew a picture of ""Kontur Square and His Diagonals."" Could he have painted his painting without removing the pencil from the paper and holding one line twice?",combinatorics
111,"In the company, every two people have exactly five common acquaintances.",graphs
112,"Are there (a) 6, (b),15, (c) 1,000 such different natural numbers that for any two (a) and (b) of them the sum of a + (b) is divided by the difference a - (b)?",number_theory
113,"The company consists of three officers, six non-commissioned officers and 60 privates.",combinatorics
114,"In the Cafe of Flower City, the machine gives out the doughnut if you enter the number x at which the value of the expression x2 – 9x + 13 is negative. And if you enter the number x at which the negative value of the expression x2 + x – 5 is given, the machine gives out the syrup. Can the Snake enter the machine with just one number, get both?",polynoms
115,The square room is heated by partitions into slightly smaller square rooms. The length of the sides of each room is an entire number. Prove that the sum of all partitions is divided by 4.,number_theory
116,(c),combinatorics
117,"What is the largest number of numbers you can choose from a set of 1, 2,..., 1963 so that the sum of each of the two selected numbers is divided by 26?",number_theory
118,"There are 15 elephants in a row, each weighing a whole number of pounds.",number_theory
119,Are there two such consecutive natural numbers that the sum of each of them is divided into 125? Find the smallest pair of such numbers or prove that they do not exist.,number_theory
120,Let p be a prime number. The set of p + 2 natural numbers (not necessarily different) is interesting if the sum of any p is divided into each of the remaining two numbers. Find all the interesting sets.,number_theory
121,"Find the largest common divider of many P(x), Q(x) members and imagine it as P(x)U(x) + Q(x)V(x): (a) P(x) = x4 + x3 – 3x2 – 4x – 1, Q(x) = x3 + x2 – x – 1; (b) P(x) = 3x4 – 5x3 + 4x2 – 2x + 1, Q(x) = 3x3 – 2x2 + x – 1.",polynoms
122,"On some island, 15 States, each of which has at least one neighbouring State friendly, prove that there will be a State with an even number of friendly neighbours. (Two States are called neighbours if they have a whole piece of common border.)",combinatorics
123,"Kolya Vasin planned to write a program that would allow a computer to print one after the other digits of a decimal number. Prove that even if the machine hadn't broken, Colin would still have failed, and sooner or later the computer would have printed the wrong number.",dirichlet
124,The bug crawls through the ribs of the cube.,number_theory
125,"Prove that if the natural number N is presented as the sum of three squares of whole numbers divided by 3, it is also presented as the sum of three squares of whole numbers not divided by 3.",number_theory
126,"(a) The numbers on the board are 1, 2, 4, 8, 16, 32, 64, 128. It is allowed to erase any two numbers and to replace them with a non-negative number. After seven such operations, there will be only one number on the board. Can it be 97? (b) The numbers on the board are 1, 21, 22, 23,..., 210. Any two numbers are allowed to be erased and the difference between them is not negative. After a few such operations, there will be only one number on the board. What can it be equal to?",number_theory
127,"It is known that P(1) = 2013, P(2013) = 1, P(k) = k, where k is a certain number. Find k.",number_theory
128,Can the k-tops of the correct 14-gon so that each quadrilateral with vertices in the points marked with two parallel sides is a rectangle if: (a) k = 6; (b) k ≥ 7?,dirichlet
129,"Dan the correct ABC triangle with centre O. A straight through top C crosses the described circle of the AOB triangle at points D and E. Prove that the points A, O, and mid-points BD, BE are on the same circle.",geometry
130,"Can the numbers of 1 to 9 be added once in a row so that there is an odd number of numbers between one and two, two and three,..., eight and nine?",number_theory
131,"Find the number of rectangles made of cells of a board with m horizontals and n verticals that contain a cell with coordinates (p, q).",combinatorics
132,(a) Prove that at least four and no more than five m-digits occur in the Fibonacci number sequence at m≥ 2. (b) Prove that the number F5n+2 (n ≥ 0) contains at least n + 1 digits in its decimal place.,number_theory
133,"Three functions are written on the board: f1(x) = x + 1/x, f2(x) = x2, f3(x) = (x – 1)2 You can add, subtract and multiply these functions (including squared, into cube,...), multiply them by an arbitrary number, add to them an arbitrary number, and do these operations with the expressions obtained. Get the function 1/x. Show that if you erase any of the functions f1, f2, f3, you cannot get 1/x.",invariant
134,"On a piece of paper, natural numbers between 1 and N are written. Players circle one number in turn, subject to the condition that any two numbers already marked should be mutually simple. You can't circle the number twice. Anyone who has no move loses. (a) Who wins the game at N = 10? (b) A at N = 12? (c) A at N = 15? (g) A at N = 30?",number_theory
135,"( b) If you add another tug? ( As we know, one tug is 100 mungus.)",number_theory
136,"Trape with the bases AD and BC are described around the circle, E is the intersection point of its diagonals. Prove that the angle AED cannot be sharp. Send a comment Decision Task 66177 Themes: [described quadrilateral lines] [Perpendicular lines] [written and described circles] [Ends based on equal arcs and equal chords] [Engages based on equal arcs and chords] [Ends of angle between two chords and two cross-sections]",geometry
137,"Find the smallest natural number, multiple 99, with only even numbers in the decimal place.",number_theory
138,"The natural number k is interesting if the work of the first $k primes is divided into $k (e.g., the first two primes are 2:3 = 6, and 2 is interesting). What is the greatest number of interesting numbers that can go in a row?",number_theory
139,What is the relationship between the degradation of a rational number into a chaindrum and the Euclid algorithm?,number_theory
140,Let.(n) be the number of positive divisors of the natural number n. Consider equation a = 2°(a).,number_theory
141,"There is a tree with n vertices, n ≥ 2. There are numbers x1, x2, xn in its vertices, and on each rib there is a work of numbers standing at the ends of this rib.",invariant
142,"(a) Prove that the ribs of the cube cannot be numbered by numbers 1, 2,..., 11, 12 so that for each vertice, the sum of the numbers of the three ribs coming out of it is the same.",graphs
143,"There's a chip in the left lower cell of the 100×100 board. The bottom horizontal and vertical moves to the neighboring side of the cage (the first step is horizontal), it went first to the left upper cage and then to the right upper cage. Prove that there are two such cages of $A and $B, that the chip has made at least two moves from $A to $B. Each one knows about all of them. Mission 66722 Themes: [Mathematic logic (other)] [Materical logic (other)] [Invariants and semiinvariants (other)] The difficulty: 4-Klasses: 8.9.10.11 Author: Kuzts M. There are knights, liars and singers on the island at least two times; everyone knows about all of them.",invariant
144,Find the balance of the division by 103 numbers (a) 5102; (b) 3104.,number_theory
145,"In square 10×10, all the cells of the left upper square 5×5 are painted black and the remaining cells are white. How many polygons can be cut (by cell boundaries) this square so that each polygon of black cells is three times smaller than white cells? (Plurigons are not required to be equal or even equal.) Send a comment The Decision: << 49 50 51 52 53 54 55 >) [Total tasks: 590] 1 to 5 to 10 to 20 to 100 with decisions:",dirichlet
