;Задача;Тема
1;В секретной службе работают n агентов – 001, 002, ..., 007, ..., n. Первый агент следит за тем, кто следит за вторым, второй – за тем, кто следит за третьим, и т.д., n-й – за тем, кто следит за первым. Докажите, что n – нечётное число.;Графы
2;"В стране несколько городов (больше одного); некоторые пары городов соединены  дорогами. Известно, что из каждого города можно попасть в любой другой, проезжая по нескольким дорогам. Кроме того, дороги не образуют циклов, то есть если выйти из некоторого города по какой-то дороге и далее двигаться так, чтобы не проходить по одной дороге дважды, то невозможно возвратиться в начальный город. Докажите, что в этой стране найдутся хотя бы два города, каждый из которых соединен дорогой ровно с одним городом. ";Графы
3;В системе связи, состоящей из 2001 абонентов, каждый абонент связан ровно с n другими. Определите все возможные значения n.  ;Графы
4;"В классе 20 учеников, причём каждый дружит не менее, чем с 14 другими.
Можно ли утверждать, что найдутся четыре ученика, которые все дружат между собой? ";Графы
0;В компании из 10 человек произошло 14 попарных ссор. Докажите, что все равно можно составить компанию из трёх друзей. ;Графы
1;Компания из нескольких друзей вела переписку так, что каждое письмо получали все, кроме отправителя. Каждый написал одно и то же количество писем, в результате чего всеми вместе было получено 440 писем. Сколько человек могло быть в этой компании?;Графы
2;В стране Леонардии все дороги – с односторонним движением. Каждая дорога соединяет два города и не проходит через другие города. Департамент статистики вычислил для каждого города суммарное число жителей в городах, откуда в него ведут дороги, и суммарное число жителей в городах, куда ведут дороги из него. Докажите, что хотя бы для одного города первое число оказалось не меньше второго.;Графы
3;"В компании из шести человек любые пять могут сесть за круглый стол так, что каждые два соседа окажутся знакомыми. 
Докажите, что и всю компанию можно усадить за круглый стол так, что каждые два соседа окажутся знакомыми.";Графы
4;В стране некоторые пары городов соединены односторонними прямыми авиарейсами (между любыми двумя городами есть не более одного рейса). Скажем, что город A доступен для города B, если из B можно долететь в A, возможно, с пересадками. Известно, что для любых двух городов P и Q существует город R, для которого и P, и Q доступны. Докажите, что существует город, для которого доступны все города страны. (Считается, что город доступен для себя.) ;Графы
0;"Можно ли провести в городе 10 автобусных маршрутов и установить на них 
остановки так, что какие бы 8 маршрутов ни были взяты, найдётся остановка, не лежащая ни на одном из них, а любые 9 маршрутов проходят через все остановки. ";Графы
1;"Имеются две страны: Обычная и Зазеркалье. У каждого города в
Обычной стране есть ""двойник"" в Зазеркалье, и наоборот. Однако если в Обычной стране какие-то два города соединены железной дорогой, то в Зазеркалье эти города не соединены, а каждые два несоединённых в Обычной стране города обязательно соединены железной дорогой в Зазеркалье. В Обычной стране девочка Алиса не может проехать из города A в город B, сделав менее двух пересадок. Доказать, что Алиса в Зазеркалье сможет проехать из любого города в любой другой, сделав не более двух пересадок. ";Графы
2;"Несколько фишек двух цветов расположены в ряд (встречаются оба цвета). Известно, что фишки, между которыми 10 или 15 фишек, одинаковы. 
Какое наибольшее число фишек может быть? ";Графы
3;"Тетрадный лист раскрасили в 23 цвета по клеткам. Пара цветов называется
хорошей, если существует две соседние клетки, закрашенные этими цветами. Каково минимальное число хороших пар? ";Графы
0;"25 мальчиков и несколько девочек собрались на вечеринке и обнаружили забавную закономерность. Если выбрать любую группу не меньше чем из 10 мальчиков, а потом добавить к ним всех девочек, знакомых хотя бы с одним из этих мальчиков, то в получившейся группе число мальчиков окажется на 1 меньше, чем число девочек.
Докажите, что некоторая девочка знакома не менее чем с 16 мальчиками. ";Графы
1;В некотором государстве система авиалиний устроена таким образом, что каждый город соединен авиалиниями не более чем с тремя другими, и из каждого города можно попасть в любой другой, сделав не более одной пересадки. Какое наибольшее количество городов может быть в этом государстве? ;Графы
2;"В связном графе степени четырёх вершин равны 3, а степени остальных вершин равны 4. 
Докажите, что нельзя удалить ребро так, чтобы граф распался на две изоморфные компоненты связности. ";Графы
3;Докажите, что связный граф, у которого число рёбер на единицу меньше числа вершин, является деревом. ;Графы
4;Волейбольная сетка имеет вид прямоугольника размером 50×600 клеток.  Какое наибольшее число верёвочек можно перерезать так, чтобы сетка не распалась на куски?;Графы
0;В квадрате отметили 20 точек и соединили их непересекающимися отрезками друг с другом и с вершинами квадрата так, что квадрат разбился на треугольники. Сколько получилось треугольников? ;Графы
1;Докажите, что для плоского связного графа справедливо неравенство  E ≤ 3V – 6.;Графы
2;Докажите, что для любого плоского графа (в том числе и несвязного) справедливо неравенство  E ≤ 3V – 6.;Графы
3;Докажите, что граф, имеющий пять вершин, каждая из которых соединена ребром со всеми остальными, не является плоским. ;Графы
4;Можно ли построить три дома, вырыть три колодца и соединить тропинками каждый дом с каждым колодцем так, чтобы тропинки не пересекались? ;Графы
0;Докажите, что граф, имеющий 10 вершин, степень каждой из которых равна 5, – не плоский. ;Графы
1;"Можно ли составить решётку, изображённую на рисунке 
   а) из пяти ломаных длины 8? 
   б) из восьми ломаных длины 5? 
(Длина стороны клетки равна 1.) ";Графы
3;"Каждый из 102 учеников одной школы знаком не менее чем с 68 другими. 
Докажите, что среди них найдутся четверо, имеющие одинаковое число знакомых.";Графы
4;Расстоянием между двумя произвольными вершинами дерева будем называть длину простого пути, соединяющего их. Удалённостью вершины дерева назовём сумму расстояний от неё до всех остальных вершин. Докажите, что в дереве, у которого есть две вершины с удалённостями, отличающимися на 1, нечётное число вершин.;Графы
5;"В некоторой стране каждый город соединён с каждым дорогой с односторонним движением. 
Докажите, что найдётся город, из которого можно добраться в любой другой.";Графы
0;"20 команд сыграли круговой турнир по волейболу. 
Докажите, что команды можно занумеровать числами от 1 до 20 так, что 1-я команда выиграла у 2-й, 2-я – у 3-й, ..., 19-я – у 20-й.";Графы
1;Есть  волейбольная  сетка 5×10. Какое максимальное число веревок, её составляющих, можно разрезать так, чтобы она  не распалась? ;Графы
2;"12 шахматистов сыграли турнир в один круг. Потом каждый из них написал 12 списков. В первом только он, в (k+1)-м – те, кто были в k-м и те, у кого они выиграли. Оказалось, что у каждого шахматиста 12-й список отличается от 11-го.
Сколько было ничьих? ";Графы
3;Найдите наибольшее число цветов, в которые можно покрасить рёбра куба (каждое ребро одним цветом) так, чтобы для каждой пары цветов нашлись два соседних ребра, покрашенные в эти цвета. Соседними считаются рёбра, имеющие общую вершину.;Графы
4;"Среди n рыцарей каждые двое – либо друзья, либо враги. У каждого из рыцарей ровно три врага, причём враги его друзей являются его врагами. 
При каких n такое возможно?";Графы
0;За круглым столом сидят 40 человек. Может ли случиться, что у каждых двух из них, между которыми сидит чётное число человек, есть за столом общий знакомый, а у каждых двух, между которыми сидит нечётное число человек, общего знакомого нет? ;Графы
1;"Среди 49 школьников каждый знаком не менее чем с 25 другими. 
Докажите, что можно их разбить на группы из двух или трёх человек так, чтобы каждый был знаком со всеми в своей группе. ";Графы
2;"Дано n точек,  n > 4.  Докажите, что можно соединить их стрелками так, чтобы из каждой точки в любую другую можно было попасть, пройдя либо по одной стрелке, либо по двум (каждые две точки можно соединить стрелкой только в одном направлении; идти по стрелке можно только в указанном на ней направлении). 











					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						73799







						Темы:
						 
					

						[
					



								Ориентированные графы							



						]
					



						[
					



								Доказательство от противного							



						]
					




Сложность: 4-Классы: 7,8,9



Автор: Розенштейн Б.
В городе одна синяя площадь и n зелёных, причём каждая зелёная площадь соединена улицами с синей и с двумя зелёными, как показано на рисунке. На каждой из 2n улиц ввели одностороннее движение так, что на каждую площадь можно проехать и с каждой – уехать. Докажите, что с каждой площади этого города можно, не нарушая правил, доехать до любой из остальных. 













					Прислать комментарий
				



			   
			
				Решение
			










					Задача
					
						79259







						Темы:
						 
					

						[
					



								Степень вершины							



						]
					



						[
					



								Многоугольники и многогранники с вершинами в узлах решетки							



						]
					



						[
					



								Шахматные доски и шахматные фигуры							



						]
					



						[
					



								Процессы и операции							



						]
					



						[
					



								Примеры и контрпримеры. Конструкции							



						]
					




Сложность: 4-Классы: 10



На бесконечной шахматной доске проведена замкнутая несамопересекающаяся
ломаная, проходящая по сторонам клеток. Внутри ломаной оказалось k чёрных
клеток. Какую наибольшую площадь может иметь фигура, ограниченная этой ломаной?












					Прислать комментарий
				



			   
			
				Решение
			



Страница:  << 21 22 23  24  25 26 27 >> [Всего задач: 380]
     



по 1
			по 2
			по 5
			по 10
			по 20
			по 50
			по 100
		
		 
		
		с решениями
		 
		



";Графы
